GEO_ID|B05009_E001|B05009_M001|B05009_E002|B05009_M002|B05009_E003|B05009_M003|B05009_E004|B05009_M004|B05009_E005|B05009_M005|B05009_E006|B05009_M006|B05009_E007|B05009_M007|B05009_E008|B05009_M008|B05009_E009|B05009_M009|B05009_E010|B05009_M010|B05009_E011|B05009_M011|B05009_E012|B05009_M012|B05009_E013|B05009_M013|B05009_E014|B05009_M014|B05009_E015|B05009_M015|B05009_E016|B05009_M016|B05009_E017|B05009_M017|B05009_E018|B05009_M018|B05009_E019|B05009_M019|B05009_E020|B05009_M020|B05009_E021|B05009_M021|B05009_E022|B05009_M022|B05009_E023|B05009_M023|B05009_E024|B05009_M024|B05009_E025|B05009_M025|B05009_E026|B05009_M026|B05009_E027|B05009_M027|B05009_E028|B05009_M028|B05009_E029|B05009_M029|B05009_E030|B05009_M030|B05009_E031|B05009_M031|B05009_E032|B05009_M032|B05009_E033|B05009_M033|B05009_E034|B05009_M034|B05009_E035|B05009_M035|B05009_E036|B05009_M036|B05009_E037|B05009_M037
1400000US36047017400|449|129|115|47|109|45|109|45|0|13|15|18|94|45|94|45|0|13|0|13|0|13|0|13|6|11|6|11|0|13|0|13|6|11|6|11|0|13|334|136|218|92|218|92|0|13|50|46|102|59|102|59|0|13|66|67|66|67|0|13|116|107|116|107|0|13|33|37|83|101|83|101|0|13
1400000US36047017500|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13
1400000US36047017600|230|98|94|69|88|72|68|65|20|30|47|59|28|33|8|14|20|30|13|20|13|20|0|13|6|10|6|10|0|13|0|13|6|10|6|10|0|13|136|74|99|60|85|60|14|13|0|13|82|56|68|56|14|13|17|24|17|24|0|13|37|36|30|35|7|10|19|31|18|19|11|16|7|10
1400000US36047017700|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13
1400000US36047017800|580|192|253|112|220|111|220|111|0|13|16|24|115|102|115|102|0|13|89|99|89|99|0|13|33|36|33|36|0|13|14|21|19|30|19|30|0|13|327|127|263|118|196|94|67|72|0|13|200|98|133|67|67|72|63|76|63|76|0|13|64|61|57|60|7|12|57|60|7|12|0|13|7|12
1400000US36047017900|865|252|321|105|159|87|159|87|0|13|117|81|19|23|19|23|0|13|23|26|23|26|0|13|162|90|162|90|0|13|162|90|0|13|0|13|0|13|544|230|265|207|265|207|0|13|60|67|29|34|29|34|0|13|176|198|176|198|0|13|279|135|279|135|0|13|279|135|0|13|0|13|0|13
1400000US36047018000|690|548|30|32|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|30|32|13|18|17|27|13|18|17|27|0|13|17|27|660|545|268|134|234|122|34|54|0|13|253|136|219|124|34|54|15|24|15|24|0|13|392|517|180|189|212|340|16|25|376|516|164|187|212|340
1400000US36047018100|397|216|189|152|149|136|149|136|0|13|54|77|0|13|0|13|0|13|95|119|95|119|0|13|40|75|40|75|0|13|40|75|0|13|0|13|0|13|208|123|208|123|208|123|0|13|142|93|18|30|18|30|0|13|48|73|48|73|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13
1400000US36047018200|581|257|234|138|210|132|210|132|0|13|34|52|41|46|41|46|0|13|135|113|135|113|0|13|24|29|24|29|0|13|0|13|24|29|24|29|0|13|347|155|269|133|254|133|15|23|51|58|116|71|116|71|0|13|102|91|87|87|15|23|78|78|27|29|51|72|27|29|51|72|0|13|51|72
1400000US36047018300|393|126|126|118|126|118|126|118|0|13|9|15|18|22|18|22|0|13|99|115|99|115|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|267|92|236|100|211|102|25|37|168|99|30|38|5|12|25|37|38|30|38|30|0|13|31|31|31|31|0|13|31|31|0|13|0|13|0|13
1400000US36047018400|321|78|68|45|19|20|19|20|0|13|10|16|9|14|9|14|0|13|0|13|0|13|0|13|49|43|49|43|0|13|38|34|11|16|11|16|0|13|253|60|137|50|137|50|0|13|43|41|89|42|89|42|0|13|5|8|5|8|0|13|116|45|79|41|37|31|55|30|61|35|30|24|31|30
1400000US36047018501|765|309|262|211|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|262|211|262|211|0|13|262|211|0|13|0|13|0|13|503|258|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|503|258|503|258|0|13|503|258|0|13|0|13|0|13
