GEO_ID|B04006_E001|B04006_M001|B04006_E002|B04006_M002|B04006_E003|B04006_M003|B04006_E004|B04006_M004|B04006_E005|B04006_M005|B04006_E006|B04006_M006|B04006_E007|B04006_M007|B04006_E008|B04006_M008|B04006_E009|B04006_M009|B04006_E010|B04006_M010|B04006_E011|B04006_M011|B04006_E012|B04006_M012|B04006_E013|B04006_M013|B04006_E014|B04006_M014|B04006_E015|B04006_M015|B04006_E016|B04006_M016|B04006_E017|B04006_M017|B04006_E018|B04006_M018|B04006_E019|B04006_M019|B04006_E020|B04006_M020|B04006_E021|B04006_M021|B04006_E022|B04006_M022|B04006_E023|B04006_M023|B04006_E024|B04006_M024|B04006_E025|B04006_M025|B04006_E026|B04006_M026|B04006_E027|B04006_M027|B04006_E028|B04006_M028|B04006_E029|B04006_M029|B04006_E030|B04006_M030|B04006_E031|B04006_M031|B04006_E032|B04006_M032|B04006_E033|B04006_M033|B04006_E034|B04006_M034|B04006_E035|B04006_M035|B04006_E036|B04006_M036|B04006_E037|B04006_M037|B04006_E038|B04006_M038|B04006_E039|B04006_M039|B04006_E040|B04006_M040|B04006_E041|B04006_M041|B04006_E042|B04006_M042|B04006_E043|B04006_M043|B04006_E044|B04006_M044|B04006_E045|B04006_M045|B04006_E046|B04006_M046|B04006_E047|B04006_M047|B04006_E048|B04006_M048|B04006_E049|B04006_M049|B04006_E050|B04006_M050|B04006_E051|B04006_M051|B04006_E052|B04006_M052|B04006_E053|B04006_M053|B04006_E054|B04006_M054|B04006_E055|B04006_M055|B04006_E056|B04006_M056|B04006_E057|B04006_M057|B04006_E058|B04006_M058|B04006_E059|B04006_M059|B04006_E060|B04006_M060|B04006_E061|B04006_M061|B04006_E062|B04006_M062|B04006_E063|B04006_M063|B04006_E064|B04006_M064|B04006_E065|B04006_M065|B04006_E066|B04006_M066|B04006_E067|B04006_M067|B04006_E068|B04006_M068|B04006_E069|B04006_M069|B04006_E070|B04006_M070|B04006_E071|B04006_M071|B04006_E072|B04006_M072|B04006_E073|B04006_M073|B04006_E074|B04006_M074|B04006_E075|B04006_M075|B04006_E076|B04006_M076|B04006_E077|B04006_M077|B04006_E078|B04006_M078|B04006_E079|B04006_M079|B04006_E080|B04006_M080|B04006_E081|B04006_M081|B04006_E082|B04006_M082|B04006_E083|B04006_M083|B04006_E084|B04006_M084|B04006_E085|B04006_M085|B04006_E086|B04006_M086|B04006_E087|B04006_M087|B04006_E088|B04006_M088|B04006_E089|B04006_M089|B04006_E090|B04006_M090|B04006_E091|B04006_M091|B04006_E092|B04006_M092|B04006_E093|B04006_M093|B04006_E094|B04006_M094|B04006_E095|B04006_M095|B04006_E096|B04006_M096|B04006_E097|B04006_M097|B04006_E098|B04006_M098|B04006_E099|B04006_M099|B04006_E100|B04006_M100|B04006_E101|B04006_M101|B04006_E102|B04006_M102|B04006_E103|B04006_M103|B04006_E104|B04006_M104|B04006_E105|B04006_M105|B04006_E106|B04006_M106|B04006_E107|B04006_M107|B04006_E108|B04006_M108|B04006_E109|B04006_M109
1400000US36047042300|4331|568|0|13|0|13|0|13|130|170|64|69|26|39|0|13|0|13|0|13|38|58|0|13|0|13|0|13|0|13|0|13|0|13|0|13|32|31|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|13|21|0|13|13|20|166|92|0|13|70|98|13|21|111|79|0|13|232|156|0|13|0|13|0|13|0|13|0|13|0|13|230|126|0|13|250|166|0|13|24|26|0|13|0|13|0|13|0|13|0|13|36|59|12|19|148|95|0|13|27|42|67|63|0|13|0|13|14|24|0|13|0|13|0|13|0|13|0|13|63|73|0|13|41|65|0|13|0|13|0|13|0|13|22|36|0|13|0|13|0|13|0|13|0|13|0|13|0|13|22|36|14|23|21|31|0|13|0|13|15|24|91|101|0|13|0|13|0|13|0|13|0|13|0|13|0|13|66|96|0|13|0|13|25|31|0|13|0|13|2320|637|930|316
1400000US36047042400|3403|674|39|60|0|13|0|13|42|39|27|41|0|13|0|13|0|13|0|13|27|41|0|13|0|13|0|13|0|13|0|13|0|13|0|13|11|16|0|13|0|13|0|13|0|13|23|39|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|9|16|12|19|0|13|0|13|0|13|0|13|0|13|0|13|9|14|0|13|32|36|14|24|0|13|0|13|0|13|30|27|0|13|127|80|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|21|23|0|13|0|13|125|81|15|23|0|13|0|13|0|13|0|13|0|13|0|13|0|13|78|105|0|13|0|13|0|13|0|13|0|13|0|13|0|13|64|100|0|13|0|13|0|13|0|13|0|13|14|24|0|13|0|13|0|13|26|40|287|214|0|13|76|101|0|13|0|13|0|13|0|13|0|13|0|13|0|13|12|18|64|100|0|13|0|13|0|13|0|13|1657|713|973|319
1400000US36047042500|2913|565|0|13|0|13|0|13|17|31|10|15|0|13|0|13|0|13|0|13|0|13|0|13|0|13|10|15|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|18|31|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|86|69|0|13|97|79|21|34|98|74|0|13|78|72|0|13|57|55|0|13|11|12|0|13|0|13|153|114|0|13|223|195|0|13|32|54|0|13|0|13|0|13|0|13|0|13|3|5|0|13|82|65|0|13|7|11|0|13|0|13|0|13|30|37|0|13|0|13|6|9|0|13|0|13|85|92|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|85|92|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|1530|582|824|385
1400000US36047042600|4410|954|0|13|105|136|0|13|48|49|29|46|28|45|0|13|0|13|0|13|0|13|0|13|1|8|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|23|36|8|14|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|10|17|0|13|0|13|0|13|0|13|0|13|25|28|0|13|12|18|0|13|0|13|11|17|0|13|49|44|0|13|574|705|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|62|59|31|47|0|13|171|103|0|13|0|13|0|13|0|13|5|10|22|35|0|13|0|13|33|53|0|13|22|35|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|11|17|0|13|0|13|0|13|4|17|213|170|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|30|48|2747|582|415|207
1400000US36047042700|4215|694|0|13|0|13|0|13|194|183|136|153|100|146|0|13|0|13|13|21|0|13|0|13|0|13|0|13|23|25|0|13|0|13|0|13|0|13|0|13|0|13|9|18|16|26|0|13|0|13|8|15|0|13|0|13|0|13|0|13|17|24|0|13|16|27|75|53|81|104|148|85|0|13|45|36|0|13|13|21|0|13|187|100|0|13|67|91|10|16|0|13|0|13|0|13|496|226|0|13|256|143|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|80|69|0|13|0|13|74|83|0|13|0|13|40|33|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|57|67|0|13|32|49|0|13|27|42|47|55|0|13|0|13|0|13|0|13|0|13|0|13|0|13|47|55|0|13|0|13|0|13|0|13|0|13|2390|686|596|216
1400000US36047042800|3852|525|38|65|0|13|0|13|100|81|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|7|12|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|8|13|0|13|21|34|0|13|21|34|0|13|58|67|0|13|0|13|0|13|0|13|0|13|0|13|35|46|21|24|340|194|0|13|0|13|0|13|0|13|0|13|0|13|0|13|19|30|0|13|99|98|0|13|30|37|159|116|0|13|0|13|8|13|0|13|20|31|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|338|268|0|13|34|42|0|13|0|13|0|13|0|13|0|13|0|13|18|29|0|13|16|31|0|13|0|13|0|13|0|13|1971|470|778|342
1400000US36047042900|5074|893|0|19|0|19|0|19|101|115|56|58|0|19|0|19|0|19|0|19|0|19|0|19|27|37|0|19|29|45|0|19|0|19|0|19|0|19|0|19|0|19|0|19|39|44|0|19|0|19|24|37|0|19|0|19|0|19|0|19|46|55|0|19|15|23|18|33|14|21|106|81|0|19|16|25|0|19|64|97|0|19|129|71|0|19|4|14|14|23|7|11|0|19|0|19|205|120|24|37|113|69|0|19|0|19|0|19|18|33|0|19|0|19|0|19|6|10|0|19|68|65|0|19|0|19|18|28|0|19|7|11|49|51|0|19|5|12|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|0|19|19|34|4|14|0|19|24|32|26|40|0|19|0|19|0|19|0|19|0|19|0|19|26|40|0|19|0|19|0|19|0|19|0|19|0|19|2965|808|1446|559
1400000US36047043000|3668|495|0|13|187|165|0|13|407|204|139|139|49|72|0|13|79|120|0|13|11|14|0|13|0|13|0|13|0|13|56|91|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|7|11|31|26|0|13|0|13|0|13|0|13|0|13|0|13|52|56|0|13|0|13|0|13|0|13|0|13|0|13|9|13|0|13|187|117|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|30|41|0|13|0|13|92|70|0|13|0|13|0|13|0|13|65|94|0|13|0|13|0|13|13|20|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|13|20|0|13|0|13|0|13|0|13|114|121|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|85|126|2251|478|327|131
1400000US36047043100|4023|745|0|13|14|24|0|13|40|43|24|40|0|13|0|13|0|13|24|40|0|13|0|13|0|13|0|13|0|13|7|15|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|20|30|24|39|30|47|141|99|0|13|0|13|0|13|150|150|0|13|192|99|0|13|0|13|0|13|8|12|0|13|0|13|566|203|0|13|251|126|0|13|20|30|36|60|0|13|0|13|0|13|0|13|99|127|0|13|151|110|28|41|0|13|102|89|0|13|26|39|56|69|0|13|0|13|0|13|0|13|0|13|39|57|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|39|57|0|13|0|13|0|13|0|13|19|25|0|13|0|13|55|84|0|13|153|153|0|13|0|13|0|13|0|13|127|147|0|13|0|13|0|13|0|13|0|13|26|40|0|13|0|13|2185|560|469|292
1400000US36047043200|4098|689|0|13|0|13|0|13|279|165|205|166|188|160|0|13|0|13|0|13|8|16|0|13|0|13|0|13|9|17|24|35|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|5|8|0|13|0|13|0|13|25|55|0|13|179|158|0|13|53|55|0|13|0|13|0|13|0|13|0|13|58|88|225|317|8|18|406|428|0|13|12|23|0|13|24|34|0|13|0|13|0|13|0|13|0|13|14|26|0|13|24|35|181|128|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|386|163|0|13|56|48|0|13|0|13|0|13|0|13|0|13|0|13|21|33|35|35|0|13|0|13|0|13|0|13|0|13|2239|547|556|262
1400000US36047043300|3621|728|0|13|0|13|0|13|167|166|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|14|23|0|13|0|13|0|13|0|13|0|13|0|13|0|13|22|32|0|13|0|13|0|13|0|13|0|13|0|13|0|13|16|29|36|53|0|13|0|13|0|13|0|13|0|13|111|60|0|13|1|5|0|13|0|13|0|13|13|21|26|29|0|13|35|37|0|13|9|19|0|13|0|13|0|13|0|13|0|13|0|13|0|13|99|62|0|13|0|13|38|41|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|17|25|0|13|535|419|0|13|0|13|0|13|0|13|0|13|0|13|191|252|42|66|302|412|0|13|0|13|0|13|0|13|1998|607|895|284
1400000US36047043400|4061|709|0|13|0|13|0|13|619|396|250|270|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|250|270|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|171|259|0|13|0|13|0|13|0|13|0|13|0|13|8|12|0|13|0|13|0|13|0|13|0|13|0|13|0|13|10|16|25|38|0|13|0|13|0|13|67|61|0|13|179|141|16|27|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|159|161|16|24|0|13|181|149|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|238|187|0|13|9|14|0|13|0|13|0|13|0|13|0|13|0|13|9|14|0|13|0|13|0|13|0|13|0|13|0|13|2547|704|452|206
1400000US36047043500|4971|855|0|13|0|13|0|13|28|43|13|21|0|13|0|13|0|13|13|21|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|14|22|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|18|24|19|28|14|21|0|13|14|22|0|13|14|23|0|13|157|139|0|13|0|13|0|13|0|13|0|13|0|13|78|47|0|13|195|107|0|13|0|13|0|13|0|13|0|13|0|13|0|13|38|32|0|13|11|18|0|13|90|116|13|20|0|13|11|18|42|81|0|13|0|13|0|13|0|13|0|13|14|22|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|0|13|14|22|0|13|23|35|0|13|0|13|0|13|0|13|605|373|0|13|0|13|196|221|0|13|0|13|0|13|165|236|230|146|0|13|0|13|14|22|0|13|0|13|3013|714|1082|424
